method,train_mse,test_mse
Naive,82.76885118298128,87.74016010702981
Single Attribute 1,71.05928455400345,72.96085371067969
Single Attribute 2,74.40472337169408,72.13199626618807
Single Attribute 3,66.92603852241494,61.10857727684491
Single Attribute 4,79.7208877710018,86.03913799037471
Single Attribute 5,69.38444324792869,68.7577816802257
Single Attribute 6,47.047025533378324,36.97342929249387
Single Attribute 7,72.39961434077075,72.89687588822261
Single Attribute 8,78.57016784087983,80.53437852323965
Single Attribute 9,72.11953375975358,72.28464262614145
Single Attribute 10,67.26090875871543,63.43090753407051
Single Attribute 11,63.733397419724916,60.89658635346799
Single Attribute 12,39.180007042802075,37.56038274216073
All Attributes,29.177300486583853,19.068333176936086
