method,train_mse,test_mse,train_std,test_std
Naive,83.44072579665225,86.63236454099459,5.12252696060115,10.328741127485744
Single Attribute 1,70.7041647837489,74.48746855035093,5.297097307481378,10.53292008217775
Single Attribute 2,72.03692002816041,76.79322964603105,4.80876105522358,9.652647957409142
Single Attribute 3,64.05057020382704,66.16293396472429,5.162604270410403,10.3797456043888
Single Attribute 4,80.34603836491499,85.56934661294535,4.9396474980719915,10.045357095574559
Single Attribute 5,68.1197348390914,71.10697322611313,5.118190487996572,10.18279710639178
Single Attribute 6,43.67583013067953,43.80849820716724,2.4594392482750957,5.002777208377676
Single Attribute 7,71.36935623649204,74.93678917645552,5.380637955613756,10.733731355908084
Single Attribute 8,78.04456954554622,81.79524781858402,5.389153897143567,10.696095522235346
Single Attribute 9,71.55957656203262,73.52533896219497,5.496489203524712,11.000135464413583
Single Attribute 10,65.32423821973977,67.23687830792827,5.478841616625725,10.966334315622765
Single Attribute 11,62.090915760503876,64.18149020991328,4.0854970916558795,8.379130931860674
Single Attribute 12,37.477230151459175,40.87963802805742,2.434707970194665,5.082187262382243
All Attributes,24.784583564837465,28.878530441670044,1.2844944285871274,2.5841619227426995
Kernel Ridge Regression,8.837298555289655,13.183622653635462,0.8739671441624024,1.665008411500674
