Method,MSE Train,MSE Test
Naive Regression,10.069601208979506,12.508187703873867
Linear Regression (attribute 1),582.7881686530591,525.992248383643
Linear Regression (attribute 2),441.4790389340712,398.55133627484355
Linear Regression (attribute 3),318.31111261790255,287.2079934456819
Linear Regression (attribute 4),545.9644613102032,517.6574098420923
Linear Regression (attribute 5),146.9528590135232,127.51957451823475
Linear Regression (attribute 6),60.87059565873898,53.82861077781758
Linear Regression (attribute 7),215.59807075995445,201.2808206190021
Linear Regression (attribute 8),171.1108768744001,134.12514950697553
Linear Regression (attribute 9),405.5761344565955,352.6972966256394
Linear Regression (attribute 10),228.5162216998259,215.71938940320402
Linear Regression (attribute 11),121.44680716761688,104.47778651256698
Linear Regression (attribute 12),347.95549345687306,283.89754043451154
Linear Regression (all attributes),26.978210647455253,23.950163669617364
Kernel Ridge Regression,10.069601208979506,12.508187703873867
